"id","userid","time","ibi"
96647814,"44a31946-60f2-4da3-9edf-a1c278288579",1640116718530,696
96647813,"44a31946-60f2-4da3-9edf-a1c278288579",1640116717809,713
96647812,"44a31946-60f2-4da3-9edf-a1c278288579",1640116717269,699
96647811,"44a31946-60f2-4da3-9edf-a1c278288579",1640116716460,688
96647810,"44a31946-60f2-4da3-9edf-a1c278288579",1640116715740,686
96647809,"44a31946-60f2-4da3-9edf-a1c278288579",1640116715199,684
96647808,"44a31946-60f2-4da3-9edf-a1c278288579",1640116714390,680
96647807,"44a31946-60f2-4da3-9edf-a1c278288579",1640116713669,685
96647806,"44a31946-60f2-4da3-9edf-a1c278288579",1640116713039,702
96647805,"44a31946-60f2-4da3-9edf-a1c278288579",1640116712319,726
96647804,"44a31946-60f2-4da3-9edf-a1c278288579",1640116711599,741
96647803,"44a31946-60f2-4da3-9edf-a1c278288579",1640116710968,716
96647802,"44a31946-60f2-4da3-9edf-a1c278288579",1640116710159,699
96647801,"44a31946-60f2-4da3-9edf-a1c278288579",1640116709349,683
96647800,"44a31946-60f2-4da3-9edf-a1c278288579",1640116708722,675
96647799,"44a31946-60f2-4da3-9edf-a1c278288579",1640116708092,676
96647798,"44a31946-60f2-4da3-9edf-a1c278288579",1640116707369,678
96647797,"44a31946-60f2-4da3-9edf-a1c278288579",1640116706739,679
96647796,"44a31946-60f2-4da3-9edf-a1c278288579",1640116706019,682
96647795,"44a31946-60f2-4da3-9edf-a1c278288579",1640116705299,697
96647794,"44a31946-60f2-4da3-9edf-a1c278288579",1640116704669,715
96647793,"44a31946-60f2-4da3-9edf-a1c278288579",1640116703949,712
96647792,"44a31946-60f2-4da3-9edf-a1c278288579",1640116703229,711
96647791,"44a31946-60f2-4da3-9edf-a1c278288579",1640116702512,708
96647790,"44a31946-60f2-4da3-9edf-a1c278288579",1640116701879,693
96647789,"44a31946-60f2-4da3-9edf-a1c278288579",1640116701069,697
96647788,"44a31946-60f2-4da3-9edf-a1c278288579",1640116700349,714
96647787,"44a31946-60f2-4da3-9edf-a1c278288579",1640116699719,717
96647786,"44a31946-60f2-4da3-9edf-a1c278288579",1640116698999,706
96647785,"44a31946-60f2-4da3-9edf-a1c278288579",1640116698279,692
96647784,"44a31946-60f2-4da3-9edf-a1c278288579",1640116697559,677
96647783,"44a31946-60f2-4da3-9edf-a1c278288579",1640116696930,665
96647782,"44a31946-60f2-4da3-9edf-a1c278288579",1640116696298,664
96647781,"44a31946-60f2-4da3-9edf-a1c278288579",1640116695579,662
96647780,"44a31946-60f2-4da3-9edf-a1c278288579",1640116694859,656
96647779,"44a31946-60f2-4da3-9edf-a1c278288579",1640116694229,649
