"id","userid","time","ibi"
96667886,"44a31946-60f2-4da3-9edf-a1c278288579",1640795053252,738
96667885,"44a31946-60f2-4da3-9edf-a1c278288579",1640795052441,929
96667884,"44a31946-60f2-4da3-9edf-a1c278288579",1640795051542,810
96667883,"44a31946-60f2-4da3-9edf-a1c278288579",1640795050732,874
96667882,"44a31946-60f2-4da3-9edf-a1c278288579",1640795049832,872
96667881,"44a31946-60f2-4da3-9edf-a1c278288579",1640795048932,795
96667880,"44a31946-60f2-4da3-9edf-a1c278288579",1640795048122,837
96667879,"44a31946-60f2-4da3-9edf-a1c278288579",1640795047311,844
96667878,"44a31946-60f2-4da3-9edf-a1c278288579",1640795046502,848
96667877,"44a31946-60f2-4da3-9edf-a1c278288579",1640795045691,788
96667876,"44a31946-60f2-4da3-9edf-a1c278288579",1640795044882,793
96667875,"44a31946-60f2-4da3-9edf-a1c278288579",1640795044072,815
96667874,"44a31946-60f2-4da3-9edf-a1c278288579",1640795043261,830
96667873,"44a31946-60f2-4da3-9edf-a1c278288579",1640795042451,838
96667872,"44a31946-60f2-4da3-9edf-a1c278288579",1640795041551,769
96667871,"44a31946-60f2-4da3-9edf-a1c278288579",1640795040742,863
96667870,"44a31946-60f2-4da3-9edf-a1c278288579",1640795039931,805
96667869,"44a31946-60f2-4da3-9edf-a1c278288579",1640795039122,868
96667868,"44a31946-60f2-4da3-9edf-a1c278288579",1640795038312,738
96667867,"44a31946-60f2-4da3-9edf-a1c278288579",1640795037591,801
96667866,"44a31946-60f2-4da3-9edf-a1c278288579",1640795036871,797
96667865,"44a31946-60f2-4da3-9edf-a1c278288579",1640795035971,799
96667864,"44a31946-60f2-4da3-9edf-a1c278288579",1640795035161,807
96667863,"44a31946-60f2-4da3-9edf-a1c278288579",1640795034441,838
96667862,"44a31946-60f2-4da3-9edf-a1c278288579",1640795033540,862
96667861,"44a31946-60f2-4da3-9edf-a1c278288579",1640795032731,867
96667860,"44a31946-60f2-4da3-9edf-a1c278288579",1640795031831,867
96667859,"44a31946-60f2-4da3-9edf-a1c278288579",1640795031022,860
96667858,"44a31946-60f2-4da3-9edf-a1c278288579",1640795030034,849
96667857,"44a31946-60f2-4da3-9edf-a1c278288579",1640795029221,804
96667856,"44a31946-60f2-4da3-9edf-a1c278288579",1640795028411,801
96667855,"44a31946-60f2-4da3-9edf-a1c278288579",1640795027601,924
96667854,"44a31946-60f2-4da3-9edf-a1c278288579",1640795026701,684
96667853,"44a31946-60f2-4da3-9edf-a1c278288579",1640795025892,854
96667852,"44a31946-60f2-4da3-9edf-a1c278288579",1640795025082,827
96667851,"44a31946-60f2-4da3-9edf-a1c278288579",1640795024345,810
96667850,"44a31946-60f2-4da3-9edf-a1c278288579",1640795023461,821
96667849,"44a31946-60f2-4da3-9edf-a1c278288579",1640795022652,822
96667848,"44a31946-60f2-4da3-9edf-a1c278288579",1640795021842,803
96667847,"44a31946-60f2-4da3-9edf-a1c278288579",1640795021032,783
96667846,"44a31946-60f2-4da3-9edf-a1c278288579",1640795020221,829
96667845,"44a31946-60f2-4da3-9edf-a1c278288579",1640795019412,841
96667844,"44a31946-60f2-4da3-9edf-a1c278288579",1640795018601,842
96667843,"44a31946-60f2-4da3-9edf-a1c278288579",1640795017749,779
96667842,"44a31946-60f2-4da3-9edf-a1c278288579",1640795016892,826
96667841,"44a31946-60f2-4da3-9edf-a1c278288579",1640795016081,826
96667840,"44a31946-60f2-4da3-9edf-a1c278288579",1640795015271,854
96667839,"44a31946-60f2-4da3-9edf-a1c278288579",1640795014461,778
96667838,"44a31946-60f2-4da3-9edf-a1c278288579",1640795013651,816
96667837,"44a31946-60f2-4da3-9edf-a1c278288579",1640795012931,818
96667836,"44a31946-60f2-4da3-9edf-a1c278288579",1640795012121,786
96667835,"44a31946-60f2-4da3-9edf-a1c278288579",1640795011221,772
96667834,"44a31946-60f2-4da3-9edf-a1c278288579",1640795010501,767
