"id","user_id","unix_in_ms","ibi"
184664720,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473047836,723
184664719,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473047152,684
184664718,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473046471,678
184664717,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473045793,678
184664716,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473045114,679
184664715,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473044491,623
184664714,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473043889,602
184664713,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473043266,620
184664712,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473042653,613
184664711,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473042045,608
184664710,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473041393,652
184664709,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473040731,662
184664708,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473039058,670
184664707,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473038405,653
184664706,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473037729,676
184664705,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473036536,808
184664704,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473035867,669
184664703,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473035225,642
184664702,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473034588,637
184664701,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473033928,660
184664700,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473032401,659
184664699,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473031743,658
184664698,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473030083,657
184664697,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473029414,669
184664696,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473028721,693
184664695,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473027615,691
184664694,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473026953,662
184664693,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473026314,639
184664692,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473025678,636
184664691,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473025036,642
184664690,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473024332,702
184664689,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473023654,678
184664688,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473023016,638
184664687,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473022392,624
184664686,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473021754,638
184664685,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473019238,624
184664684,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473018613,625
184664683,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473017979,631
184664682,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473017352,627
184664681,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473016722,630
184664680,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473015817,635
184664679,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473015188,629
184664678,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473014572,616
184664677,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473013955,617
184664676,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473013335,620
184664675,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643473012710,623
