id,user_id,unix_in_ms,ibi
38091846,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717089811300000000E+12,631
38091845,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717089745400000000E+12,659
38091844,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717089678000000000E+12,674
38091843,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717089610400000000E+12,676
38091842,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717089509100000000E+12,614
38091841,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717089441600000000E+12,675
38091840,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717089373600000000E+12,680
38091839,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717089306700000000E+12,666
38091838,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717089240500000000E+12,662
38091837,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717089175900000000E+12,646
38091836,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717089109600000000E+12,663
38091835,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717088976700000000E+12,657
38091834,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717088913100000000E+12,636
38091833,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717088848400000000E+12,647
38091832,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717088781600000000E+12,668
38091831,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717088714100000000E+12,675
38091830,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717088645700000000E+12,680
38091829,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717088577100000000E+12,686
38091828,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717088507700000000E+12,694
38091827,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717088436800000000E+12,709
38091826,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717088365800000000E+12,710
38091825,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717088299700000000E+12,657
38091824,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717088231300000000E+12,684
38091823,a502b54f-5ad0-4e5a-8399-d1e257aa1ec1,1.63717088163300000000E+12,680
